Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
4582;3;129;1;12/05/2017;Parlor1;1;2;3;4;;12/05/2017 13:27;05:49;13:32;2,29;184,00;0,03;;Unchecked;Unchecked
4577;2;125;1;12/05/2017;Parlor1;1;2;3;2;;12/05/2017 13:25;06:32;13:32;1,42;100,00;1,18;;Unchecked;Unchecked
5403;3;130;1;12/05/2017;Parlor1;1;2;3;1;;12/05/2017 13:26;05:30;13:31;3,44;200,00;2,25;;Unchecked;Unchecked
4560;3;131;1;12/05/2017;Parlor1;1;2;4;8;;12/05/2017 13:17;11:28;13:28;7,42;200,00;0,00;;Unchecked;Unchecked
4525;3;129;1;12/05/2017;Parlor1;1;2;4;7;;12/05/2017 13:16;11:29;13:27;8,41;200,00;0,85;;Unchecked;Unchecked
5409;3;130;1;12/05/2017;Parlor1;1;2;4;6;;12/05/2017 13:16;27:06;13:43;3,47;140,00;0,00;;Unchecked;Unchecked
4066;3;132;1;12/05/2017;Parlor1;1;2;4;5;;12/05/2017 13:43;13:03;13:56;7,48;200,00;0,00;;Unchecked;Unchecked
4536;2;128;1;12/05/2017;Parlor1;1;2;5;4;;12/05/2017 13:35;14:07;13:49;9,24;200,00;0,03;;Unchecked;Unchecked
4065;4;137;1;12/05/2017;Parlor1;1;2;0;6;;12/05/2017 12:54;08:00;13:02;1,13;0,00;6,25;;Unchecked;Unchecked
4548;4;134;1;12/05/2017;Parlor1;1;2;0;5;;12/05/2017 12:54;08:00;13:02;4,22;0,00;3,95;;Unchecked;Unchecked
4581;4;134;1;12/05/2017;Parlor1;1;2;0;7;;12/05/2017 12:55;08:00;13:03;3,39;0,00;3,68;;Unchecked;Unchecked
4546;4;134;1;12/05/2017;Parlor1;1;3;1;3;;12/05/2017 15:39;09:48;15:49;2,37;185,00;0,05;;Unchecked;Unchecked
4581;4;134;1;12/05/2017;Parlor1;1;3;1;4;;12/05/2017 15:41;08:27;15:49;2,14;192,00;0,60;;Unchecked;Unchecked
4573;4;132;1;12/05/2017;Parlor1;1;3;1;2;;12/05/2017 15:38;09:13;15:48;1,15;164,00;0,85;;Unchecked;Unchecked
4587;4;137;1;12/05/2017;Parlor1;1;3;1;1;;12/05/2017 15:38;09:59;15:48;2,86;218,00;0,80;;Unchecked;Unchecked
5407;4;133;1;12/05/2017;Parlor1;1;3;2;8;;12/05/2017 15:43;19:12;16:03;1,99;64,00;1,15;;Checked;Unchecked
4065;4;137;1;12/05/2017;Parlor1;1;3;2;7;;12/05/2017 15:43;19:36;16:03;1,70;200,00;0,20;;Unchecked;Unchecked
4550;4;133;1;12/05/2017;Parlor1;1;3;2;6;;12/05/2017 15:43;19:54;16:03;2,32;179,00;0,80;;Unchecked;Unchecked
4548;4;134;1;12/05/2017;Parlor1;1;3;2;5;;12/05/2017 15:41;21:28;16:03;1,83;131,00;0,00;;Unchecked;Unchecked
4551;3;129;1;12/05/2017;Parlor1;1;3;3;3;;12/05/2017 16:00;14:52;16:15;2,16;220,00;1,38;;Unchecked;Unchecked
5403;3;130;1;12/05/2017;Parlor1;1;3;3;4;;12/05/2017 16:01;14:44;16:15;1,66;233,00;1,40;;Unchecked;Unchecked
